"","Time_h","Time_d","group","mean_rate","sd"
"1",0,0,800,0,0
"2",0,0,1200,0,0
"3",12,0.5,800,0,0
"4",12,0.5,1200,0,0
"5",24,1,800,0,0
"6",24,1,1200,0,0
"7",36,1.5,800,0,0
"8",36,1.5,1200,0,0
"9",48,2,800,0,0
"10",48,2,1200,0,0
"11",60,2.5,800,0,0
"12",60,2.5,1200,0.107407407407407,0.111296142231976
"13",72,3,800,0,0
"14",72,3,1200,0.211111111111111,0.117062819476142
"15",84,3.5,800,0.0333333333333333,0.0577350269189626
"16",84,3.5,1200,0.451851851851852,0.0898100418739418
"17",96,4,800,0.133333333333333,0.115470053837925
"18",96,4,1200,0.588888888888889,0.0838870492807861
"19",108,4.5,800,0.166666666666667,0.152752523165195
"20",108,4.5,1200,0.722222222222222,0.0693888666488711
"21",120,5,800,0.2,0.1
"22",120,5,1200,0.966666666666667,0.0577350269189626
"23",132,5.5,800,0.233333333333333,0.152752523165195
"24",132,5.5,1200,0.966666666666667,0.0577350269189626
"25",144,6,800,0.3,0.173205080756888
"26",144,6,1200,1,0
"27",156,6.5,800,0.3,0.173205080756888
"28",168,7,800,0.333333333333333,0.152752523165195
"29",180,7.5,800,0.5,0.173205080756888
"30",192,8,800,0.566666666666667,0.208166599946613
"31",204,8.5,800,0.566666666666667,0.208166599946613
"32",216,9,800,0.666666666666667,0.115470053837925
"33",228,9.5,800,0.7,0.1
"34",240,10,800,0.766666666666667,0.115470053837925
